height,weight,male,earn,earnk,education,walk,exercise,angry,age,earnsabove16k,angry_or_not
62,118,0,25000,25,12,7,7,0,20,1,0
66,148,0,0,0,5,6,1,1,51,0,1
68,165,0,10000,10,18,3,2,4,56,0,1
65,130,0,50000,50,12,8,1,1,38,1,1
74,160,1,15000,15,12,2,5,3,20,0,1
74,185,1,60000,60,13,8,3,0,45,1,0
71,175,1,30000,30,15,1,1,0,23,1,0
68,150,0,21000,21,12,8,4,5,50,1,1
62,110,0,2400,2.4,16,3,4,7,22,0,1
68,240,0,5000,5,10,8,7,0,50,0,0
62,150,0,35000,35,15,2,1,2,42,1,1
66,136,0,1000,1,15,5,7,0,28,0,0
68,170,1,27000,27,12,8,1,3,27,1,1
60,115,0,6600,6.6,14,8,6,2,28,0,1
68,164,1,16000,16,8,4,1,2,43,0,1
72,185,1,90000,90,12,8,7,6,26,1,1
66,185,0,8000,8,12,5,2,0,42,0,0
68,150,1,20000,20,10,1,1,0,32,1,0
68,130,0,15000,15,12,6,7,5,18,0,1
69,180,0,12000,12,12,8,1,0,60,0,0
63,170,0,25000,25,9,8,2,2,67,1,1
64,128,0,24000,24,16,7,3,0,46,1,0
65,175,0,20000,20,14,8,3,0,39,1,0
61,128,0,19000,19,12,8,1,0,46,1,0
71,180,1,25000,25,8,3,1,0,53,1,0
72,172,1,10000,10,12,8,1,0,49,0,0
66,125,0,40000,40,16,8,1,1,34,1,1
69,175,1,62000,62,8,1,1,0,35,1,0
63,105,0,25000,25,13,7,6,3,38,1,1
60,145,0,0,0,10,8,1,0,48,0,0
62,138,0,10000,10,8,2,1,0,88,0,0
68,160,1,25000,25,14,8,1,0,64,1,0
70,150,1,25000,25,12,4,6,0,24,1,0
71,165,1,25000,25,14,4,5,0,32,1,0
71,209,1,19000,19,16,8,4,4,61,1,1
68,210,1,44000,44,16,4,4,2,48,1,1
66,145,0,0,0,12,8,6,0,19,0,0
63,140,0,0,0,18,8,1,0,55,0,0
60,105,0,15000,15,14,8,2,0,49,0,0
63,137,0,17000,17,12,5,1,5,36,1,1
68,150,1,24000,24,12,1,1,0,56,1,0
70,150,1,50000,50,16,8,6,0,38,1,0
64,170,0,23000,23,12,8,1,7,37,1,1
70,143,1,13000,13,12,8,7,0,74,0,0
68,180,1,65000,65,16,1,6,1,46,1,1
61,135,0,7000,7,12,4,1,3,63,0,1
68,180,1,40000,40,18,8,2,0,63,1,0
66,145,0,15000,15,17,7,1,3,43,0,1
70,164,1,20000,20,16,5,5,0,25,1,0
68,150,1,25000,25,6,1,1,0,77,1,0
71,175,1,20000,20,12,8,2,7,50,1,1
63,175,1,5000,5,9,2,1,0,67,0,0
65,195,0,20000,20,12,8,1,0,42,1,0
66,150,0,25000,25,12,3,1,0,49,1,0
64,110,0,15000,15,14,8,6,0,20,0,0
70,195,1,49000,49,13,7,7,0,37,1,0
70,165,1,25000,25,8,8,7,0,24,1,0
64,102,0,0,0,12,3,1,3,36,0,1
63,150,0,0,0,16,6,4,7,35,0,1
62,158,0,25000,25,12,5,1,0,65,1,0
65,160,0,30000,30,12,5,1,0,67,1,0
66,142,0,25000,25,12,8,1,1,62,1,1
60,125,0,35000,35,16,8,1,0,72,1,0
66,128,0,11000,11,14,7,1,0,57,0,0
61,160,0,16000,16,15,3,7,1,38,0,1
72,145,1,35000,35,14,1,7,2,43,1,1
74,240,1,125000,125,18,4,1,7,45,1,1
67,185,0,23000,23,12,3,1,2,47,1,1
66,170,0,17000,17,16,1,1,1,28,1,1
62,125,0,0,0,13,2,2,7,31,0,1
62,115,0,27000,27,12,2,1,3,41,1,1
72,180,1,70000,70,14,8,7,0,32,1,0
65,170,0,35000,35,15,8,1,0,47,1,0
60,150,0,10000,10,12,1,1,3,62,0,1
64,107,0,15000,15,13,8,4,4,30,0,1
62,135,0,35000,35,15,6,6,0,39,1,0
66,130,0,15000,15,12,8,5,1,38,0,1
64,250,0,12000,12,12,7,6,0,39,0,0
71,135,1,8000,8,12,1,1,0,68,0,0
65,130,0,8000,8,12,7,1,0,50,0,0
73,225,1,35000,35,18,5,2,0,50,1,0
69,175,1,45000,45,11,8,1,0,51,1,0
64,175,0,0,0,12,8,7,0,58,0,0
64,118,0,5000,5,12,7,7,4,27,0,1
64,123,0,15000,15,14,4,2,0,22,0,0
61,136,0,15000,15,12,6,1,3,77,0,1
67,240,0,24000,24,18,7,2,3,51,1,1
62,189,0,25000,25,13,5,1,5,32,1,1
63,165,0,25000,25,14,4,2,0,54,1,0
67,105,1,20000,20,10,1,1,0,28,1,0
68,140,0,24000,24,12,8,4,0,24,1,0
72,165,1,44000,44,16,8,4,1,46,1,1
70,187,1,69000,69,12,7,1,0,38,1,0
70,188,1,62000,62,18,8,4,0,44,1,0
60,145,0,25000,25,15,2,1,1,65,1,1
67,170,1,32000,32,14,6,6,0,32,1,0
63,125,0,20000,20,12,8,1,0,33,1,0
66,112,0,32000,32,18,5,2,0,35,1,0
66,135,0,25000,25,17,8,5,1,50,1,1
71,185,1,170000,170,18,5,4,0,45,1,0
66,185,0,0,0,11,8,5,2,29,0,1
67,170,1,35000,35,16,1,7,0,33,1,0
76,194,1,40000,40,16,5,6,1,38,1,1
69,155,1,33000,33,14,5,7,3,30,1,1
65,145,0,18000,18,12,2,3,0,22,1,0
62,120,0,30000,30,13,2,1,1,43,1,1
62,112,0,26000,26,12,2,1,7,31,1,1
62,120,0,5000,5,12,2,2,4,21,0,1
69,163,0,5000,5,12,2,1,7,18,0,1
62,130,0,20000,20,16,8,1,0,73,1,0
61,105,0,17000,17,12,5,6,0,30,1,0
65,138,0,32000,32,14,2,1,2,28,1,1
72,170,1,15000,15,14,7,6,0,22,0,0
66,120,0,0,0,17,8,6,3,41,0,1
72,248,1,50000,50,14,8,1,0,55,1,0
64,138,0,8000,8,12,3,2,2,39,0,1
71,190,1,40000,40,14,8,3,0,51,1,0
72,185,1,40000,40,15,8,6,3,41,1,1
66,130,1,32750,32.75,12,7,5,0,34,1,0
68,170,1,5000,5,12,8,3,5,20,0,1
65,185,0,20000,20,14,3,1,0,69,1,0
65,128,0,36000,36,15,8,7,0,39,1,0
62,170,0,6000,6,12,3,7,0,64,0,0
66,160,0,12000,12,14,7,7,2,34,0,1
67,150,1,60000,60,14,8,7,0,63,1,0
64,135,0,40000,40,13,8,2,0,44,1,0
74,185,1,5000,5,13,5,7,0,19,0,0
63,117,0,43000,43,12,5,6,0,38,1,0
67,150,0,45000,45,16,8,1,3,34,1,1
68,190,0,6000,6,18,3,1,5,39,0,1
64,154,0,8000,8,10,7,1,0,82,0,0
64,170,0,20000,20,13,8,1,5,39,1,1
66,165,1,17000,17,12,8,6,0,23,1,0
65,112,0,2000,2,12,6,1,7,32,0,1
65,180,1,65000,65,12,8,3,0,28,1,0
72,180,1,50000,50,12,4,4,1,41,1,1
68,128,0,0,0,11,6,5,1,54,0,1
63,170,0,0,0,11,5,3,0,29,0,0
70,220,1,15000,15,13,1,1,0,21,0,0
68,140,0,11000,11,12,8,1,1,38,0,1
74,190,1,35000,35,18,5,7,0,30,1,0
63,185,1,27000,27,12,1,2,1,33,1,1
64,135,0,3500,3.5,12,8,1,0,61,0,0
65,132,0,15000,15,7,1,1,0,77,0,0
68,180,1,42000,42,12,8,4,2,37,1,1
61,200,0,15000,15,12,5,1,0,61,0,0
67,130,0,20000,20,18,3,3,0,29,1,0
67,125,0,15000,15,12,8,1,3,29,0,1
73,207,1,10000,10,12,2,7,1,21,0,1
62,105,0,0,0,12,1,1,2,48,0,1
70,176,1,6000,6,8,8,7,0,78,0,0
71,200,1,25000,25,12,5,1,2,80,1,1
65,200,0,17000,17,16,8,1,3,23,1,1
69,148,1,35000,35,16,8,1,0,65,1,0
77,203,1,28000,28,14,8,7,0,28,1,0
68,165,0,15000,15,12,6,3,1,33,0,1
62,110,0,20000,20,17,6,1,0,24,1,0
64,128,0,20000,20,12,4,1,3,29,1,1
67,150,1,10500,10.5,12,7,4,1,42,0,1
70,165,1,13000,13,16,7,7,2,22,0,1
62,123,0,10000,10,12,1,4,7,52,0,1
63,170,0,3000,3,12,8,3,5,37,0,1
62,116,0,24000,24,14,1,4,7,29,1,1
63,117,0,0,0,17,1,1,4,41,0,1
69,160,0,17000,17,13,1,1,7,35,1,1
64,122,0,11000,11,12,1,1,0,48,0,0
64,154,0,0,0,14,6,1,7,37,0,1
69,185,0,32000,32,14,1,4,4,40,1,1
59,95,0,17000,17,15,2,1,5,26,1,1
61,115,0,15000,15,16,5,6,0,47,0,0
60,125,0,25000,25,12,4,1,0,75,1,0
72,225,1,136500,136.5,12,4,4,0,49,1,0
63,160,0,15000,15,8,8,6,0,60,0,0
65,150,0,0,0,12,1,1,0,41,0,0
70,200,1,25000,25,18,8,1,1,58,1,1
72,250,1,5000,5,14,2,1,0,48,0,0
62,125,0,2100,2.1,12,6,1,6,21,0,1
70,148,1,15000,15,10,8,1,0,82,0,0
60,120,0,15000,15,13,8,1,0,76,0,0
66,140,0,15000,15,12,2,1,3,29,0,1
64,160,1,15000,15,12,8,6,0,34,0,0
71,180,1,15000,15,16,2,6,2,23,0,1
73,250,1,5000,5,12,7,5,0,27,0,0
75,180,1,3192,3.192,11,8,7,0,34,0,0
62,110,0,15000,15,12,6,1,0,25,0,0
63,123,0,17000,17,17,5,5,1,26,1,1
65,150,0,30000,30,13,7,7,7,28,1,1
70,135,1,15000,15,12,1,1,0,32,0,0
64,110,0,5000,5,16,7,6,0,26,0,0
68,170,0,24000,24,16,6,4,1,42,1,1
65,154,0,10000,10,14,8,1,0,67,0,0
69,150,1,50000,50,8,2,7,0,53,1,0
64,170,0,15000,15,11,1,1,0,77,0,0
72,168,1,50000,50,16,3,2,0,53,1,0
69,160,1,136500,136.5,12,8,2,0,38,1,0
64,150,0,20000,20,17,4,2,0,49,1,0
63,108,0,30000,30,18,7,2,0,54,1,0
68,122,0,5000,5,18,2,1,2,41,0,1
64,135,0,0,0,12,1,1,1,63,0,1
66,130,0,0,0,10,6,1,0,48,0,0
70,165,1,25000,25,12,1,1,0,37,1,0
63,134,0,0,0,5,7,1,0,58,0,0
73,180,0,22000,22,14,5,1,0,45,1,0
75,200,1,27000,27,12,1,7,0,24,1,0
65,210,0,4000,4,12,4,2,1,38,0,1
64,140,0,35000,35,16,8,4,0,41,1,0
66,160,0,17500,17.5,17,4,1,0,26,1,0
66,112,0,16500,16.5,14,7,6,3,28,1,1
64,190,0,28000,28,16,3,1,5,39,1,1
66,140,0,52000,52,18,2,5,0,50,1,0
64,108,0,15000,15,16,2,6,0,29,0,0
63,140,0,19000,19,13,8,7,2,32,1,1
63,125,0,0,0,13,8,4,0,44,0,0
67,132,0,5000,5,12,3,1,2,19,0,1
69,135,0,15000,15,12,5,1,1,34,0,1
73,170,1,27000,27,12,6,6,2,23,1,1
72,171,1,15000,15,8,1,7,6,58,0,1
66,196,0,0,0,12,1,2,5,24,0,1
72,195,1,15000,15,14,8,5,1,33,0,1
64,150,0,14500,14.5,12,7,1,0,55,0,0
64,106,0,24000,24,13,2,1,0,30,1,0
61,115,0,5000,5,12,4,2,1,18,0,1
68,145,1,18000,18,15,7,7,0,36,1,0
62,118,0,4000,4,12,8,2,0,68,0,0
64,129,0,15000,15,12,6,1,0,85,0,0
66,160,0,20000,20,15,4,7,0,53,1,0
60,98,0,700,0.7,12,8,1,7,36,0,1
64,123,0,25000,25,15,7,7,0,33,1,0
65,220,0,24000,24,12,4,1,2,91,1,1
60,125,0,15000,15,12,2,1,0,60,0,0
76,215,1,27000,27,12,7,7,0,39,1,0
72,185,1,400000,400,12,5,4,6,33,1,1
62,145,0,22000,22,18,4,7,2,47,1,1
62,140,0,30000,30,13,1,1,1,36,1,1
70,160,1,45000,45,16,7,6,0,35,1,0
71,205,1,35000,35,12,8,3,0,61,1,0
74,195,1,20000,20,12,8,2,7,42,1,1
65,138,0,32000,32,16,5,1,0,32,1,0
63,160,0,6000,6,12,4,1,2,31,0,1
67,150,0,12000,12,12,3,1,0,39,0,0
65,128,0,0,0,16,2,1,0,44,0,0
63,145,0,10000,10,12,3,1,1,31,0,1
65,126,0,1000,1,12,6,6,0,18,0,0
64,136,0,12000,12,15,7,6,0,71,0,0
65,140,0,16000,16,12,7,1,1,36,0,1
63,125,0,15000,15,13,7,1,2,27,0,1
68,240,0,0,0,16,8,1,5,41,0,1
63,140,0,25000,25,16,4,2,0,33,1,0
70,135,0,25000,25,12,5,7,2,27,1,1
68,180,1,32000,32,12,5,6,5,30,1,1
67,165,1,35000,35,14,1,5,0,43,1,0
68,130,1,25000,25,12,8,2,7,24,1,1
66,135,0,25000,25,12,3,1,2,23,1,1
65,125,0,6000,6,12,8,1,1,28,0,1
69,165,1,80000,80,14,4,3,0,44,1,0
68,145,0,20000,20,14,7,1,0,25,1,0
66,187,0,1000,1,17,2,1,0,38,0,0
71,165,1,28000,28,13,1,5,0,38,1,0
64,125,1,26000,26,16,7,7,0,23,1,0
74,210,1,27000,27,12,7,6,2,24,1,1
62,112,0,18000,18,13,5,3,2,41,1,1
65,200,0,2000,2,12,8,1,0,59,0,0
69,195,1,20000,20,12,4,5,0,66,1,0
72,185,1,15000,15,12,8,2,2,19,0,1
66,221,0,6000,6,16,4,1,1,48,0,1
70,180,1,15000,15,11,8,4,0,32,0,0
61,170,0,15000,15,12,1,3,0,74,0,0
60,110,0,0,0,10,1,1,0,68,0,0
70,190,1,5000,5,12,2,4,2,19,0,1
73,130,0,5000,5,11,8,7,0,21,0,0
66,160,0,15000,15,12,7,1,1,74,0,1
57,130,0,45000,45,12,2,1,0,36,1,0
67,210,1,25000,25,11,8,7,0,63,1,0
73,180,1,12000,12,12,8,3,0,29,0,0
65,115,0,0,0,18,4,5,3,26,0,1
62,120,0,15000,15,12,6,1,0,45,0,0
76,165,1,12000,12,12,8,1,0,57,0,0
70,175,1,30000,30,14,8,5,0,76,1,0
64,160,0,0,0,12,6,6,2,30,0,1
63,130,0,4000,4,15,4,4,4,22,0,1
67,185,0,5000,5,11,8,1,2,18,0,1
63,115,0,26000,26,13,7,7,0,37,1,0
69,190,0,5000,5,9,8,4,0,53,0,0
67,200,0,15000,15,9,1,1,7,23,0,1
66,180,0,15000,15,12,4,4,7,30,0,1
61,140,0,5000,5,12,7,7,1,25,0,1
70,164,1,23000,23,12,8,7,4,35,1,1
71,175,1,21000,21,12,8,1,7,33,1,1
65,135,0,25000,25,12,5,1,3,62,1,1
70,157,1,18000,18,16,4,1,1,75,1,1
63,150,0,4000,4,13,4,6,0,44,0,0
64,116,0,23900,23.9,12,8,7,2,22,1,1
68,145,1,35000,35,12,8,5,0,68,1,0
64,123,0,35000,35,18,3,6,1,40,1,1
67,140,1,26000,26,14,1,4,3,30,1,1
66,172,1,25000,25,16,2,2,1,36,1,1
68,118,0,23500,23.5,13,2,4,7,27,1,1
65,135,0,12000,12,12,1,1,1,22,0,1
67,140,0,15000,15,12,5,6,2,20,0,1
61,165,0,25000,25,8,7,1,0,67,1,0
73,210,1,3000,3,17,5,6,0,23,0,0
63,200,0,15000,15,12,2,1,0,68,0,0
66,145,0,20000,20,12,1,7,0,37,1,0
64,200,0,6000,6,12,8,1,2,67,0,1
71,160,1,14000,14,12,1,1,0,69,0,0
63,123,0,15000,15,16,3,1,2,31,0,1
71,180,1,175000,175,16,8,5,2,48,1,1
63,118,0,0,0,12,3,1,1,51,0,1
64,128,0,62000,62,16,5,1,1,70,1,1
73,170,1,1000,1,18,7,7,3,25,0,1
65,140,0,10000,10,14,6,2,0,63,0,0
66,120,1,45000,45,13,4,1,0,82,1,0
66,120,0,15000,15,12,1,1,0,81,0,0
60,135,0,45000,45,15,8,1,0,79,1,0
68,165,0,50000,50,18,4,1,2,52,1,1
59,140,0,20000,20,13,8,1,4,41,1,1
70,215,1,5000,5,12,2,6,2,42,0,1
70,165,1,35000,35,16,1,7,2,30,1,1
72,152,1,40000,40,16,4,7,0,28,1,0
64,135,0,35000,35,12,8,7,0,72,1,0
72,200,1,25000,25,12,8,2,1,33,1,1
66,170,0,50000,50,16,4,4,0,54,1,0
70,205,1,100000,100,18,5,1,0,57,1,0
69,145,1,35000,35,13,1,7,0,28,1,0
66,115,0,0,0,12,5,5,2,51,0,1
68,175,0,24000,24,12,3,1,0,35,1,0
64,120,0,0,0,12,4,1,4,30,0,1
67,140,0,25000,25,14,8,1,2,35,1,1
63,124,0,0,0,12,2,1,0,60,0,0
74,268,1,35000,35,17,6,1,0,43,1,0
73,230,1,38000,38,16,7,5,0,74,1,0
70,200,1,35000,35,13,8,4,0,29,1,0
60,130,0,25000,25,8,8,1,0,76,1,0
67,160,1,30000,30,12,8,6,0,52,1,0
64,136,0,5000,5,12,5,1,2,39,0,1
67,160,1,148000,148,18,1,4,0,38,1,0
70,165,1,30000,30,12,2,1,0,32,1,0
64,120,0,6500,6.5,15,8,6,1,31,0,1
62,95,0,3000,3,16,8,2,7,37,0,1
72,175,1,25000,25,15,8,1,0,75,1,0
66,200,0,0,0,8,1,1,2,53,0,1
69,230,1,23000,23,18,3,6,0,69,1,0
82,175,1,45000,45,18,4,1,1,65,1,1
63,150,0,35000,35,16,8,1,0,36,1,0
68,155,1,40000,40,17,8,6,2,41,1,1
72,180,1,30000,30,14,8,2,1,39,1,1
63,210,0,0,0,14,8,2,7,29,0,1
63,210,0,14000,14,12,6,5,0,37,0,0
64,120,0,26000,26,18,4,2,0,36,1,0
71,195,0,8000,8,12,8,7,7,25,0,1
64,123,0,24000,24,16,8,6,4,27,1,1
72,135,1,0,0,8,5,5,0,20,0,0
62,125,0,0,0,12,8,2,7,25,0,1
66,180,0,0,0,10,8,5,3,38,0,1
72,200,1,15000,15,12,1,1,0,40,0,0
